upi_id,linked_account_id,handle
U000211,A000211,nidhikoh5395@paytm
U000212,A000212,jyotisol2060@paytm
U000213,A000213,pavanina551@upi
U000214,A000214,sudiksha6327@paytm
U000215,A000215,zayankas2347@upi
U000216,A000216,reyanshm348@paytm
U000217,A000217,qasimhan3127@okhdfcbank
U000218,A000218,vedamalh3417@okhdfcbank
U000219,A000219,harishha1441@okicici
U000220,A000220,utkarshp5254@upi
U000221,A000221,chasmuma2812@paytm
U000222,A000222,anushaba5147@oksbi
U000223,A000223,brindada8020@okicici
U000224,A000224,harshila8402@okicici
U000225,A000225,upasnasr5337@upi
U000226,A000226,harinigo5459@okaxis
U000227,A000227,zayyansr628@okaxis
U000228,A000228,dhruvrat7975@ybl
U000229,A000229,ethanber3519@okaxis
U000230,A000230,manthanm5258@okhdfcbank
U000231,A000231,yuvrajda5867@ybl
U000232,A000232,upkaarvi9542@okhdfcbank
U000233,A000233,shravyas8632@upi
U000234,A000234,pushtimo7890@ybl
U000235,A000235,hardikjo4031@okicici
U000236,A000236,aishanib5950@ybl
U000237,A000237,wriddhis19@oksbi
U000238,A000238,nakshaga4836@okicici
U000239,A000239,shravyas7054@upi
U000240,A000240,bachitta4167@paytm
U000241,A000241,barkhase9878@okaxis
U000242,A000242,vivaanla3789@paytm
U000243,A000243,pavanico5444@okaxis
U000244,A000244,manthanl5364@upi
U000245,A000245,ekbalbha7621@oksbi
U000246,A000246,damyanti9921@okicici
U000247,A000247,jeetsidh4388@oksbi
U000248,A000248,nehamaga5749@ybl
U000249,A000249,rakshabu6430@oksbi
U000250,A000250,rachanan4392@okhdfcbank
U000251,A000251,atharvch4175@okaxis
U000252,A000252,anshluth378@okicici
U000253,A000253,parthsin3486@ybl
U000254,A000254,arunimag5387@okhdfcbank
U000255,A000255,vyanjana8019@ybl
U000256,A000256,ijayareg6602@ybl
U000257,A000257,ekaniche2508@paytm
U000258,A000258,forumsab4044@okhdfcbank
U000259,A000259,bhavyara4917@ybl
U000260,A000260,suhanich6867@okicici
U000261,A000261,zayyanna4534@ybl
U000262,A000262,netravar8410@okicici
U000263,A000263,turvisac796@okaxis
U000264,A000264,raghavva4245@upi
U000265,A000265,wishisat2787@okaxis
U000266,A000266,samarlok4191@okaxis
U000267,A000267,bhavnasa9497@ybl
U000268,A000268,jairajba5474@oksbi
U000269,A000269,nathanmu661@oksbi
U000270,A000270,nikitach6493@paytm
U000271,A000271,ishaansh7510@paytm
U000272,A000272,miteshta4984@oksbi
U000273,A000273,yashodha4415@oksbi
U000274,A000274,vasudhas8467@okaxis
U000275,A000275,tanmayid2644@oksbi
U000276,A000276,rayaantr4360@ybl
U000277,A000277,ekarajma4429@ybl
U000278,A000278,harinitr1856@okicici
U000279,A000279,aarnavma1818@okicici
U000280,A000280,vrishtid8805@upi
U000281,A000281,vedapai6869@okaxis
U000282,A000282,krishnas3402@paytm
U000283,A000283,ranbirkh5167@upi
U000284,A000284,vivaanro344@okaxis
U000285,A000285,eeshasol6652@okaxis
U000286,A000286,libnidos2957@okhdfcbank
U000287,A000287,balhaard705@oksbi
U000288,A000288,harishsa296@paytm
U000289,A000289,tanmayia720@oksbi
U000290,A000290,nimratdu3979@paytm
U000291,A000291,upasnala8545@upi
U000292,A000292,mitalibu4353@oksbi
U000293,A000293,lajitana8567@ybl
U000294,A000294,balendra7623@ybl
U000295,A000295,bhavnaka5539@paytm
U000296,A000296,radhacha422@ybl
U000297,A000297,sachigan712@upi
U000298,A000298,ayushbat1837@ybl
U000299,A000299,dakshmem7806@ybl
U000300,A000300,kavyasan5224@okicici
U000301,A000301,yashwali6127@oksbi
U000302,A000302,pranitga1642@ybl
U000303,A000303,farhanra2551@okicici
U000304,A000304,widishad2970@okaxis
U000305,A000305,triyakum3302@okaxis
U000306,A000306,aadhyaan6588@upi
U000307,A000307,bhavnadu7125@oksbi
U000308,A000308,riyapai4793@oksbi
U000309,A000309,paninikr8592@upi
U000310,A000310,chasmumi5582@upi
U000311,A000311,vasudhac1881@okhdfcbank
U000312,A000312,lakshmip2511@upi
U000313,A000313,chakrika5762@okhdfcbank
U000314,A000314,anvianan5424@paytm
U000315,A000315,watikama3320@okaxis
U000316,A000316,indiraka8100@okicici
U000317,A000317,zashilde2657@oksbi
U000318,A000318,balveerm5716@upi
U000319,A000319,bahadurj1565@paytm
U000320,A000320,gautamme4094@okhdfcbank
U000321,A000321,ojasvigi7272@okaxis
U000322,A000322,kevinzac4393@oksbi
U000323,A000323,yachanam5434@upi
U000324,A000324,aarinisu1872@okhdfcbank
U000325,A000325,hamsinic1974@okhdfcbank
U000326,A000326,faqiddha5376@ybl
U000327,A000327,mekhalap6557@ybl
U000328,A000328,meghaatw9991@oksbi
U000329,A000329,jatinsha5793@oksbi
U000330,A000330,adwetara2959@okicici
U000331,A000331,hritikka1238@okhdfcbank
U000332,A000332,aryannar8634@okhdfcbank
U000333,A000333,devshett2386@upi
U000334,A000334,nilimada3560@okicici
U000335,A000335,chakrade2216@ybl
U000336,A000336,waidadal404@okicici
U000337,A000337,wahabyog2168@okicici
U000338,A000338,lipikase2458@ybl
U000339,A000339,onidubey2374@okaxis
U000340,A000340,hardiksu8093@okhdfcbank
U000341,A000341,atibali3078@ybl
U000342,A000342,teerthsa3393@oksbi
U000343,A000343,warinder7264@okhdfcbank
U000344,A000344,jhalakpa5168@okhdfcbank
U000345,A000345,mitalima3168@okicici
U000346,A000346,jasonsha9792@ybl
U000347,A000347,simonbai3442@upi
U000348,A000348,gaurikoh9866@okicici
U000349,A000349,sameshbi5636@ybl
U000350,A000350,tarakkau1809@ybl
U000351,A000351,manbirag9765@upi
U000352,A000352,maanavde3229@paytm
U000353,A000353,owenchou4557@upi
U000354,A000354,karanaur7434@oksbi
U000355,A000355,wazirnai3143@ybl
U000356,A000356,owenlank1710@okicici
U000357,A000357,jonathan3365@okicici
U000358,A000358,devanshs9154@okicici
U000359,A000359,janakiva4174@oksbi
U000360,A000360,siyathak6510@okicici
U000361,A000361,calebver9172@ybl
U000362,A000362,tarabala6087@ybl
U000363,A000363,varenyar3601@ybl
U000364,A000364,hritiksw4074@okaxis
U000365,A000365,ethanbuc4052@okicici
U000366,A000366,manbirbh7489@paytm
U000367,A000367,anvinair7959@upi
U000368,A000368,chaitaly7217@ybl
U000369,A000369,hardikco68@okaxis
U000370,A000370,qushiset3552@paytm
U000371,A000371,odikanor7641@paytm
U000372,A000372,mohinisa927@okaxis
U000373,A000373,dhritisa400@ybl
U000374,A000374,aadhyapr561@oksbi
U000375,A000375,urvibhav7594@okhdfcbank
U000376,A000376,frederic3240@okicici
U000377,A000377,gopalpra1597@ybl
U000378,A000378,darpanna6737@paytm
U000379,A000379,nirjapan7433@okhdfcbank
U000380,A000380,charanma3508@oksbi
U000381,A000381,indirach7364@oksbi
U000382,A000382,mohammed3851@upi
U000383,A000383,hritikpa350@okicici
U000384,A000384,ishwarma480@paytm
U000385,A000385,pushtiba3428@paytm
U000386,A000386,ayushgol5630@okhdfcbank
U000387,A000387,dayamain9606@oksbi
U000388,A000388,abeergol6574@upi
U000389,A000389,nandinib8541@okicici
U000390,A000390,azaancha9006@ybl
U000391,A000391,krishasa9829@ybl
U000392,A000392,haritadu4133@upi
U000393,A000393,devikana6406@okicici
U000394,A000394,charlesd7493@okaxis
U000395,A000395,chandran8014@paytm
U000396,A000396,saanvisa8119@upi
U000397,A000397,riyasach3967@paytm
U000398,A000398,tanveerv6043@paytm
U000399,A000399,hemanisa5258@okicici
U000400,A000400,bhanumat1512@okaxis
U000401,A000401,chakrade5141@upi
U000402,A000402,christop4733@oksbi
U000403,A000403,charvika2612@paytm
U000404,A000404,aadhyama7031@okhdfcbank
U000405,A000405,jagdisha5949@upi
U000406,A000406,qushigil6408@oksbi
U000407,A000407,lajitawa382@oksbi
U000408,A000408,xitipand8601@okhdfcbank
U000409,A000409,mekhalab6806@oksbi
U000410,A000410,anirudhs9499@ybl
U000411,A000411,dhritisa6172@ybl
U000412,A000412,omishama9487@okaxis
U000413,A000413,nidhibai4618@upi
U000414,A000414,onveersh5454@paytm
U000415,A000415,gaurangs7941@oksbi
U000416,A000416,yagneshs1926@okhdfcbank
U000417,A000417,farhanra4292@okhdfcbank
U000418,A000418,harinaks6006@okaxis
U000419,A000419,ombose2484@okicici
U000420,A000420,yashviha1839@ybl
U000421,A000421,indalidi8436@okicici
U000422,A000422,harshild4606@okhdfcbank
U000423,A000423,rudragho6174@ybl
U000424,A000424,faqidgoe7883@upi
U000425,A000425,ucchalse3456@okicici
U000426,A000426,diyadora1143@oksbi
U000427,A000427,ekanshsi232@oksbi
U000428,A000428,chavvima9126@upi
U000429,A000429,indiratr8145@okaxis
U000430,A000430,dayitash8387@paytm
U000431,A000431,baljiwan8169@oksbi
U000432,A000432,bhavinib1535@okhdfcbank
U000433,A000433,yashicar693@oksbi
U000434,A000434,benjamin8808@okicici
U000435,A000435,ekantaso5663@okicici
U000436,A000436,davidses7040@ybl
U000437,A000437,hemalcha3940@oksbi
U000438,A000438,balveerk34@oksbi
U000439,A000439,revavisw1203@upi
U000440,A000440,janujapr4421@ybl
U000441,A000441,lilarege5103@okaxis
U000442,A000442,charlesn2257@okicici
U000443,A000443,forumcha9048@paytm
U000444,A000444,bhanumat9910@ybl
U000445,A000445,gauribum1996@okhdfcbank
U000446,A000446,inayamuk2113@okhdfcbank
U000447,A000447,kaichad5017@okaxis
U000448,A000448,krishana5598@upi
U000449,A000449,giriksam5294@upi
U000450,A000450,andrewpa7577@okhdfcbank
U000451,A000451,pranitka3080@paytm
U000452,A000452,vedikaha8660@okaxis
U000453,A000453,lakshdub2495@okhdfcbank
U000454,A000454,chakrika2636@upi
U000455,A000455,gayathri5819@upi
U000456,A000456,miteshga2557@paytm
U000457,A000457,noahsarm5874@ybl
U000458,A000458,nirjapat262@oksbi
U000459,A000459,sachiman6063@oksbi
U000460,A000460,vivaanwa3246@okicici
U000461,A000461,dayamais5971@okicici
U000462,A000462,jhalaksa6000@upi
U000463,A000463,baghyawa8321@okaxis
U000464,A000464,neeliyen5805@ybl
U000465,A000465,zashilbe7728@okhdfcbank
U000466,A000466,kamyacha793@okicici
U000467,A000467,bhavanic5587@ybl
U000468,A000468,anjalise5101@upi
U000469,A000469,rajeshri7958@oksbi
U000470,A000470,shravyap5638@okicici
U000471,A000471,oeshiber7306@upi
U000472,A000472,yadavipr6021@okicici
U000473,A000473,libnibum723@paytm
U000474,A000474,udarshba9121@okhdfcbank
U000475,A000475,hardikna2918@ybl
U000476,A000476,lakshbar2888@okhdfcbank
U000477,A000477,urmidewa7040@oksbi
U000478,A000478,saumyaah6295@paytm
U000479,A000479,anirudhk902@upi
U000480,A000480,masonwab2441@okaxis
U000481,A000481,indrajit8107@okhdfcbank
U000482,A000482,charvida9618@oksbi
U000483,A000483,williams4418@oksbi
U000484,A000484,devchoud7967@paytm
U000485,A000485,amolvarm3875@okaxis
U000486,A000486,maanasma632@okicici
U000487,A000487,aaravpan2941@ybl
U000488,A000488,omajagro1313@okhdfcbank
U000489,A000489,jalsabir3526@paytm
U000490,A000490,madhavis4498@okicici
U000491,A000491,lilaprak8818@upi
U000492,A000492,amolpari5270@ybl
U000493,A000493,hemanikh6116@okaxis
U000494,A000494,gaurangi1964@okaxis
U000495,A000495,indirani5858@paytm
U000496,A000496,ucchalsr7868@ybl
U000497,A000497,krishnab7571@okaxis
U000498,A000498,balhaarm6570@okaxis
U000499,A000499,calebiye7968@oksbi
U000500,A000500,diyamukh735@paytm
U000501,A000501,urvashik4846@okicici
U000502,A000502,rayaanma9017@upi
U000503,A000503,champakn378@ybl
U000504,A000504,jeetpill9555@oksbi
U000505,A000505,mugdhasa3511@ybl
U000506,A000506,harinaks9563@upi
U000507,A000507,widishap5895@paytm
U000508,A000508,fitansam1545@paytm
U000509,A000509,qushigol3583@okicici
U000510,A000510,ekanicha1041@ybl
U000511,A000511,falakmer2135@upi
U000512,A000512,sanayasa3788@okicici
U000513,A000513,sachipan5702@paytm
U000514,A000514,brijeshp7165@okhdfcbank
U000515,A000515,anvibhan7000@okhdfcbank
U000516,A000516,nidrapat9760@upi
U000517,A000517,azaandha2587@upi
U000518,A000518,bakhshid765@okhdfcbank
U000519,A000519,warinder3236@okaxis
U000520,A000520,leelabal5130@okaxis
U000521,A000521,shivanip1831@paytm
U000522,A000522,sachibos7021@ybl
U000523,A000523,jeevikar3438@okicici
U000524,A000524,aryakris4232@upi
U000525,A000525,atharvgr2702@oksbi
U000526,A000526,zarnaram3692@okhdfcbank
U000527,A000527,adwetala7701@okaxis
U000528,A000528,tanishma4261@oksbi
U000529,A000529,ryandas2416@okaxis
U000530,A000530,ethanset5697@paytm
U000531,A000531,saichaha2554@okaxis
U000532,A000532,idikabha6636@oksbi
U000533,A000533,charitad5010@paytm
U000534,A000534,janakitr6915@okicici
U000535,A000535,jairajiy6485@upi
U000536,A000536,warjasta2557@oksbi
U000537,A000537,jalsapil7034@ybl
U000538,A000538,kaichadh9079@oksbi
U000539,A000539,dayamair2740@okhdfcbank
U000540,A000540,nirjarou4653@ybl
U000541,A000541,jeremiah3627@oksbi
U000542,A000542,shivanis804@oksbi
U000543,A000543,kabirgop2155@upi
U000544,A000544,rachitat6021@paytm
U000545,A000545,jeetvasa8485@okicici
U000546,A000546,dakshaga3996@upi
U000547,A000547,ekantika1361@oksbi
U000548,A000548,zilmilma870@ybl
U000549,A000549,zashilhe4875@upi
U000550,A000550,jeremiah252@okicici
U000551,A000551,yadaviga9358@okhdfcbank
U000552,A000552,onveerna295@okicici
U000553,A000553,ayushbum5391@paytm
U000554,A000554,alkakade4526@paytm
U000555,A000555,azaantan9293@okhdfcbank
U000556,A000556,chasmums6987@upi
U000557,A000557,nidramis6810@okicici
U000558,A000558,elijahbh8713@paytm
U000559,A000559,riasagar2344@ybl
U000560,A000560,ucchalja9285@ybl
U000561,A000561,maanasmu229@paytm
U000562,A000562,hemanira638@oksbi
U000563,A000563,kamalava5418@oksbi
U000564,A000564,eiravati9438@okaxis
U000565,A000565,jasonlok7503@paytm
U000566,A000566,yugdhali3720@paytm
U000567,A000567,chandres7447@okhdfcbank
U000568,A000568,omyakoth6919@ybl
U000569,A000569,falakmun9314@okhdfcbank
U000570,A000570,nathanie3703@okhdfcbank
U000571,A000571,wishimor9039@paytm
U000572,A000572,arinchan3074@paytm
U000573,A000573,yashasvi4971@oksbi
U000574,A000574,tanveerp6665@okaxis
U000575,A000575,chandres6812@okhdfcbank
U000576,A000576,upmamang3090@okaxis
U000577,A000577,hritiksa9375@paytm
U000578,A000578,aishanip5043@oksbi
U000579,A000579,jasmitba5035@paytm
U000580,A000580,charanha8270@okicici
U000581,A000581,bhavyabo507@okaxis
U000582,A000582,yaminise5292@okicici
U000583,A000583,jagatdav2479@ybl
U000584,A000584,meerapra1834@okicici
U000585,A000585,jasmitdh3506@ybl
U000586,A000586,yashodha7941@paytm
U000587,A000587,chakrade5850@okicici
U000588,A000588,gaurisom4274@upi
U000589,A000589,manthanv9556@ybl
U000590,A000590,falaknag4116@oksbi
U000591,A000591,mayamist2060@okicici
U000592,A000592,yashicau4914@paytm
U000593,A000593,chandani4551@oksbi
U000594,A000594,jyotinar7812@oksbi
U000595,A000595,omajamor4978@oksbi
U000596,A000596,urvilank277@ybl
U000597,A000597,charansr218@okaxis
U000598,A000598,lajitadi5677@ybl
U000599,A000599,azadchou9121@ybl
U000600,A000600,anirudhs7526@okhdfcbank
U000601,A000601,omyadosh8622@paytm
U000602,A000602,samarroy3944@paytm
U000603,A000603,daviddev7926@paytm
U000604,A000604,ektasrid5724@okaxis
U000605,A000605,diptagho8094@paytm
U000606,A000606,hemapand9673@paytm
U000607,A000607,vedahand3049@okhdfcbank
U000608,A000608,aryamisr7041@paytm
U000609,A000609,chamelim2396@okhdfcbank
U000610,A000610,vrindana6668@paytm
U000611,A000611,ikshitam8096@upi
U000612,A000612,jairajra2310@okicici
U000613,A000613,hemanidh5577@oksbi
U000614,A000614,brijeshm2932@ybl
U000615,A000615,hiralsat1421@okhdfcbank
U000616,A000616,varenyak8633@ybl
U000617,A000617,anikamag9927@okaxis
U000618,A000618,ikbalkha3295@okaxis
U000619,A000619,chandres900@okhdfcbank
U000620,A000620,virajben2707@okicici
U000621,A000621,odikanar3362@ybl
U000622,A000622,harishde8231@ybl
U000623,A000623,nakulray8112@ybl
U000624,A000624,vanshaiy1445@upi
U000625,A000625,ekaniman6255@upi
U000626,A000626,gauravka1935@upi
U000627,A000627,parthsah6125@upi
U000628,A000628,balhaarr6135@okicici
U000629,A000629,quincyma1469@oksbi
U000630,A000630,adityami7749@okicici
U000631,A000631,gautamim499@upi
U000632,A000632,wakeetad75@okicici
U000633,A000633,anjaliha7780@oksbi
U000634,A000634,gangagab3032@upi
U000635,A000635,aarinigr4768@oksbi
U000636,A000636,geetikam1314@ybl
U000637,A000637,parthrav5605@upi
U000638,A000638,yutikana9584@okhdfcbank
U000639,A000639,nandinic547@ybl
U000640,A000640,logansoo7802@upi
U000641,A000641,yuvrajah7709@upi
U000642,A000642,leelakee7484@okaxis
U000643,A000643,amaranar7843@oksbi
U000644,A000644,advaylal4962@upi
U000645,A000645,warinder4411@okicici
U000646,A000646,udyatimo3974@okicici
U000647,A000647,nidratha2053@paytm
U000648,A000648,jacobmer1575@okhdfcbank
U000649,A000649,timothyk2528@okhdfcbank
U000650,A000650,vanyadua7275@ybl
U000651,A000651,kashvisa1766@paytm
U000652,A000652,tejaskot3918@okaxis
U000653,A000653,sanyawab5243@okhdfcbank
U000654,A000654,farascho4843@ybl
U000655,A000655,yashasvi4182@paytm
U000656,A000656,niteshna8916@paytm
U000657,A000657,jacksonj6906@paytm
U000658,A000658,gavinupp9218@paytm
U000659,A000659,christop2321@okicici
U000660,A000660,yochanas2378@oksbi
U000661,A000661,dalbirsh7596@okicici
U000662,A000662,anthonyr5909@okaxis
U000663,A000663,aarushka4199@paytm
U000664,A000664,chakrade1279@ybl
U000665,A000665,devanshb8478@upi
U000666,A000666,urmibala778@ybl
U000667,A000667,nilimago2406@upi
U000668,A000668,oshapras2926@okhdfcbank
U000669,A000669,saumyapu3183@paytm
U000670,A000670,fariszac361@okaxis
U000671,A000671,ijayadan391@okaxis
U000672,A000672,mayawadh9120@ybl
U000673,A000673,udantagg751@paytm
U000674,A000674,chanchal6984@paytm
U000675,A000675,ladlikar3107@paytm
U000676,A000676,trivenip2382@upi
U000677,A000677,anyagula5409@ybl
U000678,A000678,azadsain8590@ybl
U000679,A000679,wrideshj1554@upi
U000680,A000680,harrison7676@ybl
U000681,A000681,chanakya3075@ybl
U000682,A000682,neelimas6206@oksbi
U000683,A000683,teerthbh3694@ybl
U000684,A000684,yahviman3100@oksbi
U000685,A000685,eiravati226@okhdfcbank
U000686,A000686,chasmumd1300@oksbi
U000687,A000687,odikamit3400@ybl
U000688,A000688,darshgil1738@upi
U000689,A000689,warhibat5580@upi
U000690,A000690,lakshmiv6560@okaxis
U000691,A000691,omajareg2333@paytm
U000692,A000692,charitap14@okaxis
U000693,A000693,urvashik1246@upi
U000694,A000694,charitad2079@upi
U000695,A000695,dalbirsa3185@okhdfcbank
U000696,A000696,krishram2426@oksbi
U000697,A000697,aadhyaja3488@okaxis
U000698,A000698,farhanse5078@okaxis
U000699,A000699,georgewa2665@okhdfcbank
U000700,A000700,charanlo7627@ybl
U000701,A000701,balveerb8410@okicici
