person_id,name,role,account_age_days,district,state,lat,lng
P000154,Sanaya Dutt,normal,1664,Mangaluru,Karnataka,12.89536,74.93644
P000155,Shivani Lad,normal,1236,Dhanbad,Jharkhand,23.78863,86.43403
P000156,Aradhana Verma,normal,290,Nagpur,Maharashtra,21.14625,79.08428
P000157,William Maharaj,normal,1665,Delhi Central,Delhi,28.6088,77.18002
P000158,Faras Mangal,normal,1122,Ranchi,Jharkhand,23.31928,85.24631
P000159,Anita Nayak,normal,2099,Bharatpur,Rajasthan,27.12221,77.45811
P000160,Faris Devi,normal,83,Mumbai,Maharashtra,19.08107,72.75515
P000161,Vihaan Rajagopal,normal,1308,New Delhi,Delhi,28.55069,77.22687
P000162,Tanish Bhatt,normal,1611,Delhi Central,Delhi,28.66667,77.21177
P000163,Nikita Narayanan,normal,989,Mangaluru,Karnataka,13.00348,74.84518
P000164,Ojasvi Bhatia,normal,1510,Delhi Central,Delhi,28.65056,77.21184
P000165,Osha Ramachandran,normal,3173,Deoghar,Jharkhand,24.45463,86.75688
P000166,Lajita Sood,normal,2925,Noida,Uttar Pradesh,28.52141,77.41021
P000167,Indira Misra,normal,2900,Jamtara,Jharkhand,23.98168,86.77554
P000168,Oni Yohannan,normal,1340,Alwar,Rajasthan,27.58124,76.5682
P000169,Vinaya Kanda,normal,2570,Gurugram,Haryana,28.48254,76.99196
P000170,Rajata Sunder,normal,1087,Howrah,West Bengal,22.62045,88.17052
P000171,Lopa Nayar,normal,517,Ghaziabad,Uttar Pradesh,28.62847,77.4579
P000172,Noah Sibal,normal,2440,Kolkata,West Bengal,22.67675,88.34886
P000173,Avi Ramesh,normal,86,Bengaluru,Karnataka,12.89494,77.54422
P000174,Fiyaz Sangha,normal,348,Jamtara,Jharkhand,23.9252,86.80496
P000175,Triya Gopal,normal,1721,Nuh,Haryana,28.16311,77.00091
P000176,Abha Raghavan,normal,966,Mumbai,Maharashtra,19.09538,72.92641
P000177,Siddharth Sha,normal,1872,Durgapur,West Bengal,23.57784,87.33411
P000178,Geetika Raghavan,normal,813,Alwar,Rajasthan,27.59893,76.65629
P000179,Oviya Krishnan,normal,1433,Alwar,Rajasthan,27.5845,76.63278
P000180,Upma Bahl,normal,1099,Gurugram,Haryana,28.5169,77.0862
P000181,Inaya Kapur,normal,52,Bengaluru,Karnataka,13.03054,77.60192
P000182,Banjeet Balasubramanian,normal,1073,Dhanbad,Jharkhand,23.85211,86.44278
P000183,Ryan Bahri,normal,1144,Thane,Maharashtra,19.21479,72.98629
P000184,William Date,normal,1615,Jaipur,Rajasthan,26.9121,75.82452
P000185,Ishwar Kamdar,normal,1657,Bengaluru,Karnataka,12.93215,77.59237
P000186,Aahana Pillay,normal,1363,Mumbai,Maharashtra,19.03773,72.93558
P000187,Ishwar Gade,normal,1412,Kota,Rajasthan,25.17578,75.8576
P000188,Hritik Bal,normal,1096,Mysuru,Karnataka,12.35324,76.62082
P000189,Keya Ranganathan,normal,818,Deoghar,Jharkhand,24.41204,86.68721
P000190,Faqid Kibe,normal,2039,Durgapur,West Bengal,23.47592,87.34532
P000191,Charvi Dara,normal,1264,Asansol,West Bengal,23.6766,86.957
P000192,Idika Walia,normal,2328,Rohtak,Haryana,28.84872,76.55452
P000193,Kamala Biswas,normal,557,Asansol,West Bengal,23.71468,86.9988
P000194,Advik Salvi,normal,2459,Alwar,Rajasthan,27.58301,76.66948
P000195,Hitesh Sant,normal,2679,Ranchi,Jharkhand,23.33433,85.30305
P000196,Tripti Dua,normal,2356,Pune,Maharashtra,18.51814,73.83363
P000197,Patrick Vig,normal,66,Ranchi,Jharkhand,23.33372,85.34839
P000198,Veda Shroff,normal,1191,Gurugram,Haryana,28.45979,77.00519
P000199,Amrita Naidu,normal,3143,Lucknow,Uttar Pradesh,26.78013,81.04596
P000200,Gabriel Mallick,normal,1978,Durgapur,West Bengal,23.54967,87.28532
P000201,Yagnesh Shetty,normal,199,Hubballi,Karnataka,15.36975,75.11042
P000202,Gayathri Balakrishnan,normal,2413,Bengaluru,Karnataka,12.92866,77.5188
P000203,Ekta Gopal,normal,2825,Durgapur,West Bengal,23.54086,87.31757
P000204,Simon Pant,normal,2980,Howrah,West Bengal,22.62814,88.24118
P000205,Harini Mammen,normal,2348,Ranchi,Jharkhand,23.2547,85.32389
P000206,Advaith Varughese,normal,2801,Nuh,Haryana,28.05398,76.98853
P000207,Frederick Khurana,normal,26,Kolkata,West Bengal,22.57358,88.35216
P000208,Vrinda Khosla,normal,725,Jaipur,Rajasthan,26.91695,75.79467
P000209,Vritti Sem,normal,1930,Mumbai,Maharashtra,19.07477,72.85434
P000210,Girik Menon,normal,2145,New Delhi,Delhi,28.56105,77.19112
P000211,Nidhi Kohli,normal,397,Deoghar,Jharkhand,24.46894,86.74676
P000212,Jyoti Solanki,normal,2177,Dhanbad,Jharkhand,23.80045,86.46989
P000213,Pavani Narayanan,normal,2056,Nagpur,Maharashtra,21.12401,79.11763
P000214,Sudiksha Madan,normal,965,Bengaluru,Karnataka,12.96872,77.64499
P000215,Zayan Kashyap,normal,959,Deoghar,Jharkhand,24.46425,86.65127
P000216,Reyansh Mutti,normal,1598,Nuh,Haryana,28.07419,77.03536
P000217,Qasim Handa,normal,69,Jaipur,Rajasthan,26.8915,75.76847
P000218,Veda Malhotra,normal,2175,Asansol,West Bengal,23.75443,86.97605
P000219,Harish Hari,normal,16,Mumbai,Maharashtra,19.14064,72.90888
P000220,Utkarsh Patel,normal,1811,Jamtara,Jharkhand,23.97802,86.77445
P000221,Chasmum Atwal,normal,1970,Agra,Uttar Pradesh,27.29797,77.999
P000222,Anusha Bath,normal,704,Durgapur,West Bengal,23.62727,87.30136
P000223,Brinda Date,normal,63,Hubballi,Karnataka,15.40727,75.15154
P000224,Harshil Arora,normal,5,Kolkata,West Bengal,22.53336,88.33497
P000225,Upasna Srinivas,normal,2329,Bengaluru,Karnataka,12.94865,77.64114
P000226,Harini Gour,normal,30,Bharatpur,Rajasthan,27.23595,77.43682
P000227,Zayyan Sridhar,normal,967,Alwar,Rajasthan,27.50108,76.65922
P000228,Dhruv Rattan,normal,23,Mangaluru,Karnataka,12.92448,74.86633
P000229,Ethan Bera,normal,58,Jaipur,Rajasthan,26.8865,75.85307
P000230,Manthan Modi,normal,611,Bengaluru,Karnataka,12.95855,77.5875
P000231,Yuvraj Dani,normal,1025,Nuh,Haryana,28.05364,77.04393
P000232,Upkaar Virk,normal,87,Mysuru,Karnataka,12.31781,76.72187
P000233,Shravya Savant,normal,1391,Gurugram,Haryana,28.49403,77.02013
P000234,Pushti Mody,normal,1436,Lucknow,Uttar Pradesh,26.84746,80.94481
P000235,Hardik Johal,normal,2750,Pune,Maharashtra,18.46167,73.84741
P000236,Aishani Bumb,normal,34,Dhanbad,Jharkhand,23.75492,86.43702
P000237,Wriddhish Ghose,normal,1184,Dhanbad,Jharkhand,23.73661,86.40704
P000238,Naksh Agate,normal,2392,Mumbai,Maharashtra,19.05598,72.81573
P000239,Shravya Singhal,normal,2927,Bharatpur,Rajasthan,27.2503,77.46098
P000240,Bachittar Kata,normal,1914,Asansol,West Bengal,23.62967,86.95502
P000241,Barkha Setty,normal,2244,Asansol,West Bengal,23.74899,86.9841
P000242,Vivaan Lalla,normal,2598,Thane,Maharashtra,19.20336,73.02234
P000243,Pavani Contractor,normal,1976,Mysuru,Karnataka,12.25807,76.63029
P000244,Manthan Lata,normal,643,Kolkata,West Bengal,22.61642,88.38592
P000245,Ekbal Bhasin,normal,2782,Hubballi,Karnataka,15.39402,75.13462
P000246,Damyanti Mani,normal,2079,Mangaluru,Karnataka,12.96699,74.88143
P000247,Jeet Sidhu,normal,3193,Jaipur,Rajasthan,26.90727,75.80157
P000248,Neha Magar,normal,1399,Ranchi,Jharkhand,23.28249,85.30511
P000249,Raksha Buch,normal,2205,Bharatpur,Rajasthan,27.21114,77.50568
P000250,Rachana Naidu,normal,2135,New Delhi,Delhi,28.63029,77.23225
P000251,Atharv Chand,normal,809,Kolkata,West Bengal,22.604,88.37843
P000252,Ansh Luthra,normal,522,Thane,Maharashtra,19.29959,72.93715
P000253,Parth Singhal,normal,1477,Agra,Uttar Pradesh,27.23254,78.04683
P000254,Arunima Golla,normal,99,Gurugram,Haryana,28.38539,77.06107
P000255,Vyanjana Chand,normal,2463,Howrah,West Bengal,22.64488,88.28883
P000256,Ijaya Rege,normal,502,Dhanbad,Jharkhand,23.7698,86.41944
P000257,Ekani Cheema,normal,2769,Mumbai,Maharashtra,19.15262,72.84142
P000258,Forum Sabharwal,normal,238,Dhanbad,Jharkhand,23.81839,86.3531
P000259,Bhavya Rattan,normal,3083,Rohtak,Haryana,28.84699,76.6237
P000260,Suhani Chakrabarti,normal,1783,Noida,Uttar Pradesh,28.49984,77.36136
P000261,Zayyan Naik,normal,430,Mumbai,Maharashtra,19.10677,72.8955
P000262,Netra Varkey,normal,1370,Nuh,Haryana,28.07857,77.02905
P000263,Turvi Sachdev,normal,1469,Asansol,West Bengal,23.65923,86.88573
P000264,Raghav Vasa,normal,2396,Rohtak,Haryana,28.82403,76.58884
P000265,Wishi Sathe,normal,178,Jaipur,Rajasthan,26.95602,75.74985
P000266,Samar Loke,normal,85,Durgapur,West Bengal,23.59165,87.29219
P000267,Bhavna Sarma,normal,2728,Dhanbad,Jharkhand,23.78687,86.44244
P000268,Jairaj Balakrishnan,normal,1323,Thane,Maharashtra,19.18902,72.97559
P000269,Nathan Mukhopadhyay,normal,1667,Durgapur,West Bengal,23.4817,87.39764
P000270,Nikita Chander,normal,308,Mysuru,Karnataka,12.29924,76.54603
P000271,Ishaan Shenoy,normal,2769,Nagpur,Maharashtra,21.16159,79.03961
P000272,Mitesh Tara,normal,2284,Thane,Maharashtra,19.16982,72.92695
P000273,Yashodhara Mahajan,normal,618,Durgapur,West Bengal,23.50386,87.30142
P000274,Vasudha Sodhi,normal,168,Bharatpur,Rajasthan,27.15641,77.48026
P000275,Tanmayi Dhillon,normal,1685,Pune,Maharashtra,18.50775,73.83065
P000276,Rayaan Trivedi,normal,1448,Ranchi,Jharkhand,23.37431,85.32365
P000277,Ekaraj Majumdar,normal,1139,Durgapur,West Bengal,23.51838,87.36422
P000278,Harini Tripathi,normal,737,Ghaziabad,Uttar Pradesh,28.63604,77.50618
P000279,Aarnav Mandal,normal,2567,Jamtara,Jharkhand,24.02953,86.77677
P000280,Vrishti Dixit,normal,1204,Alwar,Rajasthan,27.60087,76.59828
P000281,Veda Pai,normal,857,Jamtara,Jharkhand,23.97243,86.89305
P000282,Krishna Shah,normal,1144,Noida,Uttar Pradesh,28.5742,77.37816
P000283,Ranbir Khare,normal,2034,Rohtak,Haryana,28.91899,76.6304
P000284,Vivaan Roy,normal,2327,Mangaluru,Karnataka,12.90749,74.83335
P000285,Eesha Solanki,normal,85,Howrah,West Bengal,22.63834,88.23752
P000286,Libni Doshi,normal,1578,Durgapur,West Bengal,23.48742,87.20741
P000287,Balhaar Date,normal,2956,Jaipur,Rajasthan,27.00346,75.78976
P000288,Harish Sarraf,normal,138,Deoghar,Jharkhand,24.51333,86.60006
P000289,Tanmayi Aurora,normal,540,Dhanbad,Jharkhand,23.76636,86.40458
P000290,Nimrat Dubey,normal,1429,Deoghar,Jharkhand,24.44019,86.67244
P000291,Upasna Lanka,normal,1628,Jamtara,Jharkhand,24.04128,86.79885
P000292,Mitali Buch,normal,1706,Mumbai,Maharashtra,19.09733,72.82388
P000293,Lajita Nadig,normal,2787,Mysuru,Karnataka,12.3122,76.65286
P000294,Balendra Biswas,normal,2907,Ranchi,Jharkhand,23.37698,85.33265
P000295,Bhavna Karan,normal,3191,Deoghar,Jharkhand,24.47201,86.69715
P000296,Radha Chaudhari,normal,260,Ghaziabad,Uttar Pradesh,28.65374,77.51872
P000297,Sachi Ganesan,normal,188,Durgapur,West Bengal,23.57671,87.36107
P000298,Ayush Batra,normal,2498,Agra,Uttar Pradesh,27.18531,78.02813
P000299,Daksh Memon,normal,2992,Dhanbad,Jharkhand,23.84046,86.41173
P000300,Kavya Sankar,normal,2370,Bharatpur,Rajasthan,27.20182,77.52015
P000301,Yash Wali,normal,992,Ranchi,Jharkhand,23.32643,85.24665
P000302,Pranit Garde,normal,1986,Noida,Uttar Pradesh,28.53591,77.39101
P000303,Farhan Raja,normal,2131,Kota,Rajasthan,25.17589,75.98575
P000304,Widisha Dhar,normal,1927,Mangaluru,Karnataka,12.97524,74.89686
P000305,Triya Kumar,normal,30,Kolkata,West Bengal,22.48239,88.38019
P000306,Aadhya Andra,normal,3108,Ranchi,Jharkhand,23.35766,85.29481
P000307,Bhavna Dugar,normal,1471,Dhanbad,Jharkhand,23.73515,86.42511
P000308,Riya Pai,normal,199,Ranchi,Jharkhand,23.3514,85.36084
P000309,Panini Krishna,normal,1354,Bharatpur,Rajasthan,27.2681,77.46817
P000310,Chasmum Issac,normal,1441,Kolkata,West Bengal,22.62693,88.41015
P000311,Vasudha Chhabra,normal,1456,Nagpur,Maharashtra,21.15303,79.16452
P000312,Lakshmi Parmer,normal,411,Ranchi,Jharkhand,23.34487,85.36561
P000313,Chakrika Bains,normal,2181,Kolkata,West Bengal,22.61605,88.33922
P000314,Anvi Anand,normal,2188,Nagpur,Maharashtra,21.12514,79.11853
P000315,Watika Mangat,normal,834,Bharatpur,Rajasthan,27.18116,77.46009
P000316,Indira Kanda,normal,658,Thane,Maharashtra,19.24828,72.93778
P000317,Zashil Devan,normal,180,Noida,Uttar Pradesh,28.49325,77.40373
P000318,Balveer More,normal,571,Ranchi,Jharkhand,23.35875,85.27302
P000319,Bahadurjit Patla,normal,2810,Hubballi,Karnataka,15.33194,75.1638
P000320,Gautam Merchant,normal,172,Nuh,Haryana,28.12805,77.00572
P000321,Ojasvi Gill,normal,2769,Bharatpur,Rajasthan,27.18138,77.39197
P000322,Kevin Zacharia,normal,974,Faridabad,Haryana,28.44284,77.37964
P000323,Yachana Mahajan,normal,1971,Bharatpur,Rajasthan,27.21514,77.5118
P000324,Aarini Subramaniam,normal,2114,Noida,Uttar Pradesh,28.49539,77.50025
P000325,Hamsini Contractor,normal,1529,Kota,Rajasthan,25.15119,75.82894
P000326,Faqid Dhaliwal,normal,1643,Kota,Rajasthan,25.21145,75.8342
P000327,Mekhala Pau,normal,424,Hubballi,Karnataka,15.29979,75.10966
P000328,Megha Atwal,normal,152,Jaipur,Rajasthan,26.96524,75.80258
P000329,Jatin Sha,normal,2389,Agra,Uttar Pradesh,27.15298,78.05239
P000330,Adweta Raj,normal,1548,Kolkata,West Bengal,22.60161,88.38691
P000331,Hritik Kaur,normal,1196,Deoghar,Jharkhand,24.4938,86.70299
P000332,Aryan Narang,normal,304,Jamtara,Jharkhand,23.87187,86.78797
P000333,Dev Shetty,normal,2525,Ghaziabad,Uttar Pradesh,28.61999,77.41177
P000334,Nilima Dada,normal,2866,Bengaluru,Karnataka,12.98364,77.65885
P000335,Chakradev Barad,normal,1526,Jaipur,Rajasthan,26.941,75.7533
P000336,Waida D’Alia,normal,947,Lucknow,Uttar Pradesh,26.77767,80.82178
P000337,Wahab Yogi,normal,1027,Mysuru,Karnataka,12.33476,76.62092
P000338,Lipika Setty,normal,3148,Faridabad,Haryana,28.43212,77.26268
